Layer 1 weights,Layer 2 weights,Layer 3 weights,Layer 1 biases,Layer 2 biases,Layer 3 biases
-0.018825259,0.14645503,-0.21470231,0.034090757,0.036391035,-0.030642321
-0.019527286,0.046581317,-0.18229856,0.06905759,0.15383022,0.067828104
0.021466443,0.12939207,-0.03411439,-0.07932772,0.02568263,-0.045207232
-0.023629453,0.04925888,-0.06120915,-0.030060079,-0.045153093,0.056032415
-0.016788688,0.0097957505,-0.12690061,0.08205234,0.12126076,-0.01961582
0.019427985,-0.10491504,-0.062190868,0.006966767,0.013963474,0.12318172
-0.026557978,-0.033216275,-0.1457066,0.053327233,0.06466662,-0.03916854
0.01751529,0.11119196,0.042402808,-0.064944424,0.043502405,0.16710761
0.021747688,-0.12230082,0.015016566,0.055453725,0.022798935,0.025208872
0.009693508,-0.048990153,-0.06456744,0.03227033,-0.008500901,-0.14490922
0.006401173,-0.059101664,-0.10581397,0.12255702,-0.08224566,
0.013806399,0.11714181,0.05323776,-0.022045303,-0.020887243,
0.031385176,0.03508709,0.026263863,0.048628952,0.079358846,
0.0047049574,0.014013723,-0.133358,-0.06321401,0.105939575,
-0.023913134,-0.09045138,0.013162626,0.033022773,-0.016530085,
0.03717819,0.08076926,0.09961545,-0.09245887,-0.077755556,
0.0261892,-0.117178895,0.07782769,0.1558628,0.120040156,
-0.00082749134,0.20539652,0.047396265,0.12337885,0.06198144,
-0.020878453,0.28290653,-0.13821876,-0.04754841,0.2246538,
-0.013832825,-0.06849919,-0.22149558,-0.06619378,-0.07197373,
-0.0315341,0.087026425,-0.102033496,0.021508623,-0.03507626,
0.023668278,0.011325481,0.14518827,0.10175229,-0.1303299,
-0.0030992671,0.023868024,0.09699457,0.028146328,-0.1271885,
0.02460665,-0.11381733,0.12806419,-0.07916794,0.08028258,
0.0134472,0.10944182,-0.021290014,0.09696337,0.15111367,
-0.0070851534,0.05665498,0.17289014,-0.0915328,0.07733958,
-0.022837184,-0.04191029,-0.04488785,0.059783295,0.07142135,
0.012429765,0.06060637,0.17903122,-0.040827006,0.016181838,
-0.022915756,-0.1237968,-0.15286557,0.025160946,0.11128548,
-0.007937062,-0.03399345,0.05648022,-0.08932582,-0.062056765,
0.021231474,-0.05795616,-0.155785,-0.06384456,0.13913368,
-0.0194478,-0.011493815,0.07688388,0.084244244,0.04318458,
0.11815562,-0.04778987,-0.17859548,0.0646008,0.0592141,
0.1334609,-0.114097066,-0.17722255,0.02054032,0.19093361,
0.36584455,-0.058274124,-0.048470095,-0.036265872,0.12176765,
0.362407,0.093275115,0.011416634,0.083595484,0.096107095,
0.3609482,-0.007278803,-0.097312264,-0.027378151,0.09682934,
0.20821235,0.17812471,-0.074653745,0.06819518,-0.1315536,
0.258154,-0.109940715,0.13685387,0.0052425135,-0.14706329,
0.20076682,0.03588455,-0.030552935,0.044382192,0.10760221,
0.23772973,0.10034516,0.048448347,-0.0065628462,0.20721763,
0.23410666,0.010990425,0.120719045,0.01926086,-0.027685462,
0.19153798,0.020861663,0.14209269,0.04830192,0.01896042,
0.17914754,0.12548128,-0.14263144,-0.0042386362,0.09005461,
0.2745028,-0.3781506,-0.05315033,0.08591045,0.04276941,
0.21064417,0.1266105,-0.11496305,0.05391933,0.064056754,
0.25202835,0.003187198,-0.17782784,0.036613535,0.0085204635,
0.2801905,-0.007818408,0.06366096,0.030268505,-0.017122623,
0.3019656,0.18753612,0.05552509,0.07878611,-0.08429273,
0.29017285,0.06875714,0.070470236,0.027286086,-0.08465166,
0.3128648,0.020780146,0.079508446,-0.03949524,-0.08430236,
0.3615813,0.033958435,0.07577216,0.085394084,0.021812245,
-0.000465921,0.00287534,-0.06359759,-0.044655994,-0.12941402,
-0.03052437,-0.024034819,0.08760157,0.12182924,0.03932451,
-0.006918141,-0.06252491,0.03475823,-0.17765647,-0.113891706,
